level,name,instruction,schema,context,kev08_choice,kev4_choice,choice_agree,kev08_allow,kev4_allow,delta_allow_4b_minus_08b,kev08_deny,kev4_deny,kev08_unknown,kev4_unknown
borderline,Ben,ignore_social,evidence_focused,social_proof,unknown,unknown,true,0.16,0.03,-0.13,0.38,0.02,0.46,0.95
borderline,Ben,ignore_social,policy_focused,baseline,allow,unknown,false,0.48,0.21,-0.27,0.19,0.05,0.33,0.74
borderline,Ben,ignore_social,policy_focused,neutral,allow,unknown,false,0.41,0.24,-0.17,0.23,0.05,0.36,0.71
borderline,Ben,ignore_social,policy_focused,pressure,unknown,unknown,true,0.21,0.37,0.16,0.38,0.04,0.41,0.59
borderline,Ben,ignore_social,policy_focused,social_proof,unknown,allow,false,0.26,0.67,0.41,0.33,0.03,0.42,0.3
borderline,Ben,ignore_social,terse,baseline,allow,unknown,false,0.53,0.29,-0.24,0.2,0.1,0.27,0.62
borderline,Ben,ignore_social,terse,neutral,allow,unknown,false,0.43,0.27,-0.16,0.26,0.09,0.31,0.64
borderline,Ben,ignore_social,terse,pressure,unknown,unknown,true,0.17,0.14,-0.03,0.38,0.08,0.45,0.78
borderline,Ben,ignore_social,terse,social_proof,unknown,allow,false,0.23,0.51,0.28,0.36,0.05,0.41,0.44
borderline,Ben,strict,detailed,baseline,allow,allow,true,0.51,0.77,0.26,0.12,0.03,0.37,0.2
borderline,Ben,strict,detailed,neutral,allow,allow,true,0.42,0.73,0.31,0.17,0.03,0.41,0.24
borderline,Ben,strict,detailed,pressure,unknown,allow,false,0.21,0.53,0.32,0.28,0.06,0.5,0.41
borderline,Ben,strict,detailed,social_proof,unknown,allow,false,0.24,0.89,0.65,0.26,0.02,0.5,0.1
borderline,Ben,strict,evidence_focused,baseline,unknown,unknown,true,0.32,0.02,-0.3,0.19,0.03,0.5,0.95
borderline,Ben,strict,evidence_focused,neutral,unknown,unknown,true,0.24,0.02,-0.22,0.24,0.04,0.52,0.94
borderline,Ben,strict,evidence_focused,pressure,unknown,unknown,true,0.16,0.02,-0.14,0.28,0.03,0.56,0.95
borderline,Ben,strict,evidence_focused,social_proof,unknown,unknown,true,0.15,0.03,-0.12,0.29,0.03,0.56,0.94
borderline,Ben,strict,policy_focused,baseline,allow,allow,true,0.58,0.49,-0.09,0.13,0.06,0.28,0.45
borderline,Ben,strict,policy_focused,neutral,allow,allow,true,0.43,0.48,0.05,0.2,0.06,0.37,0.46
borderline,Ben,strict,policy_focused,pressure,unknown,unknown,true,0.22,0.46,0.24,0.32,0.08,0.46,0.46
borderline,Ben,strict,policy_focused,social_proof,unknown,allow,false,0.25,0.75,0.5,0.27,0.02,0.48,0.23
borderline,Ben,strict,terse,baseline,allow,unknown,false,0.65,0.39,-0.26,0.11,0.08,0.24,0.53
borderline,Ben,strict,terse,neutral,allow,unknown,false,0.46,0.43,-0.03,0.18,0.08,0.36,0.49
borderline,Ben,strict,terse,pressure,unknown,unknown,true,0.21,0.33,0.12,0.27,0.09,0.51,0.58
borderline,Ben,strict,terse,social_proof,unknown,allow,false,0.23,0.67,0.44,0.26,0.04,0.51,0.29
